
################################################################################
#          IDS of CJK characters for Yuhao Input Method (Yuniversus)           #
#          URL: https://github.com/forFudan/ids                                #
#          Yuhao Input Method: https://shurufa.app                             #
#          Author: ZHU Yuhao (朱宇浩) <dr.yuhao.zhu@outlook.com>               #
#          Unicode Version: 16.0+                                            #
#          File Date: 2024-09-24                                               #
################################################################################
#
# The progressive Ideographic Sequence Sequence (IDS) of CJK characters in this 
# file is used to generate the divisons for Yuhao Input Method (Yuniversus)], 
# a shape-based Chinese input method, that is able to input all CJK characters, 
# radicals, strokes, Tangut, etc.
#
# There are multiple columns, showing variations of different sources. 
# The sources are listed as follows:
#
# - G (People's Republic of China)
# - T (Taipei Computer Association)
# - H (Hong Kong SAR, PRC)
# - J (Japan)
# - K (Republic of Korea)
# - V (Socialist Republic of Vietnam)
# - U (Unicode Technical Comittee)
# - S (SAṃgaṇikīkṛtaṃ Taiśotripiṭakaṃ, SAT)
# - B (United Kingdom)
# - M (Macau SAR, PRC)
# - P (Democratic People's Republic of Korea)
#
# The characters that are used in the IDS are from:
#
# - CJK and all extensions.
# - Strokes, radicals, and supplements.
# - [Roots of Yuhao IME (Yuniversus)](https://shurufa.app/docs/yuniversus.html).
#
# Due to special rules of Yuniversus that the order of strokes is prioritized, 
# the descriptive characters `⿺`, namely "surround bottom and left side", 
# is replaced by either `⿱` or `⿰`, for specific radicals, e.g, `辶𠃊`. 
# Please be careful in such situations:
#
# - `近 = ⿺辶斤` will be replaced by `⿱斤辶`.
# - `亾 = ⿺𠃊人` will be replaced by `⿱人𠃊`.
#
# You can very welcomed to use, distribute, or modify the IDS in this file. 
# Let us work together to pass the Chinese culture down to the next generations.
#
################################################################################
char,unicode,block,G,T,H,J,K,V,U,S,B,M,P
𲭑,32B51,CJK-J,,,,,,,,,,,
𲭒,32B52,CJK-J,,,,,,,,,,,
𲭓,32B53,CJK-J,,,,,,,,,,,
𲭔,32B54,CJK-J,,,,,,,,,,,
𲭕,32B55,CJK-J,,,,,,,,,,,
𲭖,32B56,CJK-J,,,,,,,,,,,
𲭗,32B57,CJK-J,,,,,,,,,,,
𲭘,32B58,CJK-J,,,,,,,,,,,
𲭙,32B59,CJK-J,,,,,,,,,,,
𲭚,32B5A,CJK-J,,,,,,,,,,,
𲭛,32B5B,CJK-J,,,,,,,,,,,
𲭜,32B5C,CJK-J,,,,,,,,,,,
𲭝,32B5D,CJK-J,,,,,,,,,,,
𲭞,32B5E,CJK-J,,,,,,,,,,,
𲭟,32B5F,CJK-J,,,,,,,,,,,
𲭠,32B60,CJK-J,,,,,,,,,,,
𲭡,32B61,CJK-J,,,,,,,,,,,
𲭢,32B62,CJK-J,,,,,,,,,,,
𲭣,32B63,CJK-J,,,,,,,,,,,
𲭤,32B64,CJK-J,,,,,,,,,,,
𲭥,32B65,CJK-J,,,,,,,,,,,
𲭦,32B66,CJK-J,,,,,,,,,,,
𲭧,32B67,CJK-J,,,,,,,,,,,
𲭨,32B68,CJK-J,,,,,,,,,,,
𲭩,32B69,CJK-J,,,,,,,,,,,
𲭪,32B6A,CJK-J,,,,,,,,,,,
𲭫,32B6B,CJK-J,,,,,,,,,,,
𲭬,32B6C,CJK-J,,,,,,,,,,,
𲭭,32B6D,CJK-J,,,,,,,,,,,
𲭮,32B6E,CJK-J,,,,,,,,,,,
𲭯,32B6F,CJK-J,,,,,,,,,,,
𲭰,32B70,CJK-J,,,,,,,,,,,
𲭱,32B71,CJK-J,,,,,,,,,,,
𲭲,32B72,CJK-J,,,,,,,,,,,
𲭳,32B73,CJK-J,,,,,,,,,,,
𲭴,32B74,CJK-J,,,,,,,,,,,
𲭵,32B75,CJK-J,,,,,,,,,,,
𲭶,32B76,CJK-J,,,,,,,,,,,
𲭷,32B77,CJK-J,,,,,,,,,,,
𲭸,32B78,CJK-J,,,,,,,,,,,
𲭹,32B79,CJK-J,,,,,,,,,,,
𲭺,32B7A,CJK-J,,,,,,,,,,,
𲭻,32B7B,CJK-J,,,,,,,,,,,
𲭼,32B7C,CJK-J,,,,,,,,,,,
𲭽,32B7D,CJK-J,,,,,,,,,,,
𲭾,32B7E,CJK-J,,,,,,,,,,,
𲭿,32B7F,CJK-J,,,,,,,,,,,
𲮀,32B80,CJK-J,,,,,,,,,,,
𲮁,32B81,CJK-J,,,,,,,,,,,
𲮂,32B82,CJK-J,,,,,,,,,,,
𲮃,32B83,CJK-J,,,,,,,,,,,
𲮄,32B84,CJK-J,,,,,,,,,,,
𲮅,32B85,CJK-J,,,,,,,,,,,
𲮆,32B86,CJK-J,,,,,,,,,,,
𲮇,32B87,CJK-J,,,,,,,,,,,
𲮈,32B88,CJK-J,,,,,,,,,,,
𲮉,32B89,CJK-J,,,,,,,,,,,
𲮊,32B8A,CJK-J,,,,,,,,,,,
𲮋,32B8B,CJK-J,,,,,,,,,,,
𲮌,32B8C,CJK-J,,,,,,,,,,,
𲮍,32B8D,CJK-J,,,,,,,,,,,
𲮎,32B8E,CJK-J,,,,,,,,,,,
𲮏,32B8F,CJK-J,,,,,,,,,,,
𲮐,32B90,CJK-J,,,,,,,,,,,
𲮑,32B91,CJK-J,,,,,,,,,,,
𲮒,32B92,CJK-J,,,,,,,,,,,
𲮓,32B93,CJK-J,,,,,,,,,,,
𲮔,32B94,CJK-J,,,,,,,,,,,
𲮕,32B95,CJK-J,,,,,,,,,,,
𲮖,32B96,CJK-J,,,,,,,,,,,
𲮗,32B97,CJK-J,,,,,,,,,,,
𲮘,32B98,CJK-J,,,,,,,,,,,
𲮙,32B99,CJK-J,,,,,,,,,,,
𲮚,32B9A,CJK-J,,,,,,,,,,,
𲮛,32B9B,CJK-J,,,,,,,,,,,
𲮜,32B9C,CJK-J,,,,,,,,,,,
𲮝,32B9D,CJK-J,,,,,,,,,,,
𲮞,32B9E,CJK-J,,,,,,,,,,,
𲮟,32B9F,CJK-J,,,,,,,,,,,
𲮠,32BA0,CJK-J,,,,,,,,,,,
𲮡,32BA1,CJK-J,,,,,,,,,,,
𲮢,32BA2,CJK-J,,,,,,,,,,,
𲮣,32BA3,CJK-J,,,,,,,,,,,
𲮤,32BA4,CJK-J,,,,,,,,,,,
𲮥,32BA5,CJK-J,,,,,,,,,,,
𲮦,32BA6,CJK-J,,,,,,,,,,,
𲮧,32BA7,CJK-J,,,,,,,,,,,
𲮨,32BA8,CJK-J,,,,,,,,,,,
𲮩,32BA9,CJK-J,,,,,,,,,,,
𲮪,32BAA,CJK-J,,,,,,,,,,,
𲮫,32BAB,CJK-J,,,,,,,,,,,
𲮬,32BAC,CJK-J,,,,,,,,,,,
𲮭,32BAD,CJK-J,,,,,,,,,,,
𲮮,32BAE,CJK-J,,,,,,,,,,,
𲮯,32BAF,CJK-J,,,,,,,,,,,
𲮰,32BB0,CJK-J,,,,,,,,,,,
𲮱,32BB1,CJK-J,,,,,,,,,,,
𲮲,32BB2,CJK-J,,,,,,,,,,,
𲮳,32BB3,CJK-J,,,,,,,,,,,
𲮴,32BB4,CJK-J,,,,,,,,,,,
𲮵,32BB5,CJK-J,,,,,,,,,,,
𲮶,32BB6,CJK-J,,,,,,,,,,,
𲮷,32BB7,CJK-J,,,,,,,,,,,
𲮸,32BB8,CJK-J,,,,,,,,,,,
𲮹,32BB9,CJK-J,,,,,,,,,,,
𲮺,32BBA,CJK-J,,,,,,,,,,,
𲮻,32BBB,CJK-J,,,,,,,,,,,
𲮼,32BBC,CJK-J,,,,,,,,,,,
𲮽,32BBD,CJK-J,,,,,,,,,,,
𲮾,32BBE,CJK-J,,,,,,,,,,,
𲮿,32BBF,CJK-J,,,,,,,,,,,
𲯀,32BC0,CJK-J,,,,,,,,,,,
𲯁,32BC1,CJK-J,,,,,,,,,,,
𲯂,32BC2,CJK-J,,,,,,,,,,,
𲯃,32BC3,CJK-J,,,,,,,,,,,
𲯄,32BC4,CJK-J,,,,,,,,,,,
𲯅,32BC5,CJK-J,,,,,,,,,,,
𲯆,32BC6,CJK-J,,,,,,,,,,,
𲯇,32BC7,CJK-J,,,,,,,,,,,
𲯈,32BC8,CJK-J,,,,,,,,,,,
𲯉,32BC9,CJK-J,,,,,,,,,,,
𲯊,32BCA,CJK-J,,,,,,,,,,,
𲯋,32BCB,CJK-J,,,,,,,,,,,
𲯌,32BCC,CJK-J,,,,,,,,,,,
𲯍,32BCD,CJK-J,,,,,,,,,,,
𲯎,32BCE,CJK-J,,,,,,,,,,,
𲯏,32BCF,CJK-J,,,,,,,,,,,
𲯐,32BD0,CJK-J,,,,,,,,,,,
𲯑,32BD1,CJK-J,,,,,,,,,,,
𲯒,32BD2,CJK-J,,,,,,,,,,,
𲯓,32BD3,CJK-J,,,,,,,,,,,
𲯔,32BD4,CJK-J,,,,,,,,,,,
𲯕,32BD5,CJK-J,,,,,,,,,,,
𲯖,32BD6,CJK-J,,,,,,,,,,,
𲯗,32BD7,CJK-J,,,,,,,,,,,
𲯘,32BD8,CJK-J,,,,,,,,,,,
𲯙,32BD9,CJK-J,,,,,,,,,,,
𲯚,32BDA,CJK-J,,,,,,,,,,,
𲯛,32BDB,CJK-J,,,,,,,,,,,
𲯜,32BDC,CJK-J,,,,,,,,,,,
𲯝,32BDD,CJK-J,,,,,,,,,,,
𲯞,32BDE,CJK-J,,,,,,,,,,,
𲯟,32BDF,CJK-J,,,,,,,,,,,
𲯠,32BE0,CJK-J,,,,,,,,,,,
𲯡,32BE1,CJK-J,,,,,,,,,,,
𲯢,32BE2,CJK-J,,,,,,,,,,,
𲯣,32BE3,CJK-J,,,,,,,,,,,
𲯤,32BE4,CJK-J,,,,,,,,,,,
𲯥,32BE5,CJK-J,,,,,,,,,,,
𲯦,32BE6,CJK-J,,,,,,,,,,,
𲯧,32BE7,CJK-J,,,,,,,,,,,
𲯨,32BE8,CJK-J,,,,,,,,,,,
𲯩,32BE9,CJK-J,,,,,,,,,,,
𲯪,32BEA,CJK-J,,,,,,,,,,,
𲯫,32BEB,CJK-J,,,,,,,,,,,
𲯬,32BEC,CJK-J,,,,,,,,,,,
𲯭,32BED,CJK-J,,,,,,,,,,,
𲯮,32BEE,CJK-J,,,,,,,,,,,
𲯯,32BEF,CJK-J,,,,,,,,,,,
𲯰,32BF0,CJK-J,,,,,,,,,,,
𲯱,32BF1,CJK-J,,,,,,,,,,,
𲯲,32BF2,CJK-J,,,,,,,,,,,
𲯳,32BF3,CJK-J,,,,,,,,,,,
𲯴,32BF4,CJK-J,,,,,,,,,,,
𲯵,32BF5,CJK-J,,,,,,,,,,,
𲯶,32BF6,CJK-J,,,,,,,,,,,
𲯷,32BF7,CJK-J,,,,,,,,,,,
𲯸,32BF8,CJK-J,,,,,,,,,,,
𲯹,32BF9,CJK-J,,,,,,,,,,,
𲯺,32BFA,CJK-J,,,,,,,,,,,
𲯻,32BFB,CJK-J,,,,,,,,,,,
𲯼,32BFC,CJK-J,,,,,,,,,,,
𲯽,32BFD,CJK-J,,,,,,,,,,,
𲯾,32BFE,CJK-J,,,,,,,,,,,
𲯿,32BFF,CJK-J,,,,,,,,,,,
𲰀,32C00,CJK-J,,,,,,,,,,,
𲰁,32C01,CJK-J,,,,,,,,,,,
𲰂,32C02,CJK-J,,,,,,,,,,,
𲰃,32C03,CJK-J,,,,,,,,,,,
𲰄,32C04,CJK-J,,,,,,,,,,,
𲰅,32C05,CJK-J,,,,,,,,,,,
𲰆,32C06,CJK-J,,,,,,,,,,,
𲰇,32C07,CJK-J,,,,,,,,,,,
𲰈,32C08,CJK-J,,,,,,,,,,,
𲰉,32C09,CJK-J,,,,,,,,,,,
𲰊,32C0A,CJK-J,,,,,,,,,,,
𲰋,32C0B,CJK-J,,,,,,,,,,,
𲰌,32C0C,CJK-J,,,,,,,,,,,
𲰍,32C0D,CJK-J,,,,,,,,,,,
𲰎,32C0E,CJK-J,,,,,,,,,,,
𲰏,32C0F,CJK-J,,,,,,,,,,,
𲰐,32C10,CJK-J,,,,,,,,,,,
𲰑,32C11,CJK-J,,,,,,,,,,,
𲰒,32C12,CJK-J,,,,,,,,,,,
𲰓,32C13,CJK-J,,,,,,,,,,,
𲰔,32C14,CJK-J,,,,,,,,,,,
𲰕,32C15,CJK-J,,,,,,,,,,,
𲰖,32C16,CJK-J,,,,,,,,,,,
𲰗,32C17,CJK-J,,,,,,,,,,,
𲰘,32C18,CJK-J,,,,,,,,,,,
𲰙,32C19,CJK-J,,,,,,,,,,,
𲰚,32C1A,CJK-J,,,,,,,,,,,
𲰛,32C1B,CJK-J,,,,,,,,,,,
𲰜,32C1C,CJK-J,,,,,,,,,,,
𲰝,32C1D,CJK-J,,,,,,,,,,,
𲰞,32C1E,CJK-J,,,,,,,,,,,
𲰟,32C1F,CJK-J,,,,,,,,,,,
𲰠,32C20,CJK-J,,,,,,,,,,,
𲰡,32C21,CJK-J,,,,,,,,,,,
𲰢,32C22,CJK-J,,,,,,,,,,,
𲰣,32C23,CJK-J,,,,,,,,,,,
𲰤,32C24,CJK-J,,,,,,,,,,,
𲰥,32C25,CJK-J,,,,,,,,,,,
𲰦,32C26,CJK-J,,,,,,,,,,,
𲰧,32C27,CJK-J,,,,,,,,,,,
𲰨,32C28,CJK-J,,,,,,,,,,,
𲰩,32C29,CJK-J,,,,,,,,,,,
𲰪,32C2A,CJK-J,,,,,,,,,,,
𲰫,32C2B,CJK-J,,,,,,,,,,,
𲰬,32C2C,CJK-J,,,,,,,,,,,
𲰭,32C2D,CJK-J,,,,,,,,,,,
𲰮,32C2E,CJK-J,,,,,,,,,,,
𲰯,32C2F,CJK-J,,,,,,,,,,,
𲰰,32C30,CJK-J,,,,,,,,,,,
𲰱,32C31,CJK-J,,,,,,,,,,,
𲰲,32C32,CJK-J,,,,,,,,,,,
𲰳,32C33,CJK-J,,,,,,,,,,,
𲰴,32C34,CJK-J,,,,,,,,,,,
𲰵,32C35,CJK-J,,,,,,,,,,,
𲰶,32C36,CJK-J,,,,,,,,,,,
𲰷,32C37,CJK-J,,,,,,,,,,,
𲰸,32C38,CJK-J,,,,,,,,,,,
𲰹,32C39,CJK-J,,,,,,,,,,,
𲰺,32C3A,CJK-J,,,,,,,,,,,
𲰻,32C3B,CJK-J,,,,,,,,,,,
𲰼,32C3C,CJK-J,,,,,,,,,,,
𲰽,32C3D,CJK-J,,,,,,,,,,,
𲰾,32C3E,CJK-J,,,,,,,,,,,
𲰿,32C3F,CJK-J,,,,,,,,,,,
𲱀,32C40,CJK-J,,,,,,,,,,,
𲱁,32C41,CJK-J,,,,,,,,,,,
𲱂,32C42,CJK-J,,,,,,,,,,,
𲱃,32C43,CJK-J,,,,,,,,,,,
𲱄,32C44,CJK-J,,,,,,,,,,,
𲱅,32C45,CJK-J,,,,,,,,,,,
𲱆,32C46,CJK-J,,,,,,,,,,,
𲱇,32C47,CJK-J,,,,,,,,,,,
𲱈,32C48,CJK-J,,,,,,,,,,,
𲱉,32C49,CJK-J,,,,,,,,,,,
𲱊,32C4A,CJK-J,,,,,,,,,,,
𲱋,32C4B,CJK-J,,,,,,,,,,,
𲱌,32C4C,CJK-J,,,,,,,,,,,
𲱍,32C4D,CJK-J,,,,,,,,,,,
𲱎,32C4E,CJK-J,,,,,,,,,,,
𲱏,32C4F,CJK-J,,,,,,,,,,,
𲱐,32C50,CJK-J,,,,,,,,,,,
𲱑,32C51,CJK-J,,,,,,,,,,,
𲱒,32C52,CJK-J,,,,,,,,,,,
𲱓,32C53,CJK-J,,,,,,,,,,,
𲱔,32C54,CJK-J,,,,,,,,,,,
𲱕,32C55,CJK-J,,,,,,,,,,,
𲱖,32C56,CJK-J,,,,,,,,,,,
𲱗,32C57,CJK-J,,,,,,,,,,,
𲱘,32C58,CJK-J,,,,,,,,,,,
𲱙,32C59,CJK-J,,,,,,,,,,,
𲱚,32C5A,CJK-J,,,,,,,,,,,
𲱛,32C5B,CJK-J,,,,,,,,,,,
𲱜,32C5C,CJK-J,,,,,,,,,,,
𲱝,32C5D,CJK-J,,,,,,,,,,,
𲱞,32C5E,CJK-J,,,,,,,,,,,
𲱟,32C5F,CJK-J,,,,,,,,,,,
𲱠,32C60,CJK-J,,,,,,,,,,,
𲱡,32C61,CJK-J,,,,,,,,,,,
𲱢,32C62,CJK-J,,,,,,,,,,,
𲱣,32C63,CJK-J,,,,,,,,,,,
𲱤,32C64,CJK-J,,,,,,,,,,,
𲱥,32C65,CJK-J,,,,,,,,,,,
𲱦,32C66,CJK-J,,,,,,,,,,,
𲱧,32C67,CJK-J,,,,,,,,,,,
𲱨,32C68,CJK-J,,,,,,,,,,,
𲱩,32C69,CJK-J,,,,,,,,,,,
𲱪,32C6A,CJK-J,,,,,,,,,,,
𲱫,32C6B,CJK-J,,,,,,,,,,,
𲱬,32C6C,CJK-J,,,,,,,,,,,
𲱭,32C6D,CJK-J,,,,,,,,,,,
𲱮,32C6E,CJK-J,,,,,,,,,,,
𲱯,32C6F,CJK-J,,,,,,,,,,,
𲱰,32C70,CJK-J,,,,,,,,,,,
𲱱,32C71,CJK-J,,,,,,,,,,,
𲱲,32C72,CJK-J,,,,,,,,,,,
𲱳,32C73,CJK-J,,,,,,,,,,,
𲱴,32C74,CJK-J,,,,,,,,,,,
𲱵,32C75,CJK-J,,,,,,,,,,,
𲱶,32C76,CJK-J,,,,,,,,,,,
𲱷,32C77,CJK-J,,,,,,,,,,,
𲱸,32C78,CJK-J,,,,,,,,,,,
𲱹,32C79,CJK-J,,,,,,,,,,,
𲱺,32C7A,CJK-J,,,,,,,,,,,
𲱻,32C7B,CJK-J,,,,,,,,,,,
𲱼,32C7C,CJK-J,,,,,,,,,,,
𲱽,32C7D,CJK-J,,,,,,,,,,,
𲱾,32C7E,CJK-J,,,,,,,,,,,
𲱿,32C7F,CJK-J,,,,,,,,,,,
𲲀,32C80,CJK-J,,,,,,,,,,,
𲲁,32C81,CJK-J,,,,,,,,,,,
𲲂,32C82,CJK-J,,,,,,,,,,,
𲲃,32C83,CJK-J,,,,,,,,,,,
𲲄,32C84,CJK-J,,,,,,,,,,,
𲲅,32C85,CJK-J,,,,,,,,,,,
𲲆,32C86,CJK-J,,,,,,,,,,,
𲲇,32C87,CJK-J,,,,,,,,,,,
𲲈,32C88,CJK-J,,,,,,,,,,,
𲲉,32C89,CJK-J,,,,,,,,,,,
𲲊,32C8A,CJK-J,,,,,,,,,,,
𲲋,32C8B,CJK-J,,,,,,,,,,,
𲲌,32C8C,CJK-J,,,,,,,,,,,
𲲍,32C8D,CJK-J,,,,,,,,,,,
𲲎,32C8E,CJK-J,,,,,,,,,,,
𲲏,32C8F,CJK-J,,,,,,,,,,,
𲲐,32C90,CJK-J,,,,,,,,,,,
𲲑,32C91,CJK-J,,,,,,,,,,,
𲲒,32C92,CJK-J,,,,,,,,,,,
𲲓,32C93,CJK-J,,,,,,,,,,,
𲲔,32C94,CJK-J,,,,,,,,,,,
𲲕,32C95,CJK-J,,,,,,,,,,,
𲲖,32C96,CJK-J,,,,,,,,,,,
𲲗,32C97,CJK-J,,,,,,,,,,,
𲲘,32C98,CJK-J,,,,,,,,,,,
𲲙,32C99,CJK-J,,,,,,,,,,,
𲲚,32C9A,CJK-J,,,,,,,,,,,
𲲛,32C9B,CJK-J,,,,,,,,,,,
𲲜,32C9C,CJK-J,,,,,,,,,,,
𲲝,32C9D,CJK-J,,,,,,,,,,,
𲲞,32C9E,CJK-J,,,,,,,,,,,
𲲟,32C9F,CJK-J,,,,,,,,,,,
𲲠,32CA0,CJK-J,,,,,,,,,,,
𲲡,32CA1,CJK-J,,,,,,,,,,,
𲲢,32CA2,CJK-J,,,,,,,,,,,
𲲣,32CA3,CJK-J,,,,,,,,,,,
𲲤,32CA4,CJK-J,,,,,,,,,,,
𲲥,32CA5,CJK-J,,,,,,,,,,,
𲲦,32CA6,CJK-J,,,,,,,,,,,
𲲧,32CA7,CJK-J,,,,,,,,,,,
𲲨,32CA8,CJK-J,,,,,,,,,,,
𲲩,32CA9,CJK-J,,,,,,,,,,,
𲲪,32CAA,CJK-J,,,,,,,,,,,
𲲫,32CAB,CJK-J,,,,,,,,,,,
𲲬,32CAC,CJK-J,,,,,,,,,,,
𲲭,32CAD,CJK-J,,,,,,,,,,,
𲲮,32CAE,CJK-J,,,,,,,,,,,
𲲯,32CAF,CJK-J,,,,,,,,,,,
𲲰,32CB0,CJK-J,,,,,,,,,,,
𲲱,32CB1,CJK-J,,,,,,,,,,,
𲲲,32CB2,CJK-J,,,,,,,,,,,
𲲳,32CB3,CJK-J,,,,,,,,,,,
𲲴,32CB4,CJK-J,,,,,,,,,,,
𲲵,32CB5,CJK-J,,,,,,,,,,,
𲲶,32CB6,CJK-J,,,,,,,,,,,
𲲷,32CB7,CJK-J,,,,,,,,,,,
𲲸,32CB8,CJK-J,,,,,,,,,,,
𲲹,32CB9,CJK-J,,,,,,,,,,,
𲲺,32CBA,CJK-J,,,,,,,,,,,
𲲻,32CBB,CJK-J,,,,,,,,,,,
𲲼,32CBC,CJK-J,,,,,,,,,,,
𲲽,32CBD,CJK-J,,,,,,,,,,,
𲲾,32CBE,CJK-J,,,,,,,,,,,
𲲿,32CBF,CJK-J,,,,,,,,,,,
𲳀,32CC0,CJK-J,,,,,,,,,,,
𲳁,32CC1,CJK-J,,,,,,,,,,,
𲳂,32CC2,CJK-J,,,,,,,,,,,
𲳃,32CC3,CJK-J,,,,,,,,,,,
𲳄,32CC4,CJK-J,,,,,,,,,,,
𲳅,32CC5,CJK-J,,,,,,,,,,,
𲳆,32CC6,CJK-J,,,,,,,,,,,
𲳇,32CC7,CJK-J,,,,,,,,,,,
𲳈,32CC8,CJK-J,,,,,,,,,,,
𲳉,32CC9,CJK-J,,,,,,,,,,,
𲳊,32CCA,CJK-J,,,,,,,,,,,
𲳋,32CCB,CJK-J,,,,,,,,,,,
𲳌,32CCC,CJK-J,,,,,,,,,,,
𲳍,32CCD,CJK-J,,,,,,,,,,,
𲳎,32CCE,CJK-J,,,,,,,,,,,
𲳏,32CCF,CJK-J,,,,,,,,,,,
𲳐,32CD0,CJK-J,,,,,,,,,,,
𲳑,32CD1,CJK-J,,,,,,,,,,,
𲳒,32CD2,CJK-J,,,,,,,,,,,
𲳓,32CD3,CJK-J,,,,,,,,,,,
𲳔,32CD4,CJK-J,,,,,,,,,,,
𲳕,32CD5,CJK-J,,,,,,,,,,,
𲳖,32CD6,CJK-J,,,,,,,,,,,
𲳗,32CD7,CJK-J,,,,,,,,,,,
𲳘,32CD8,CJK-J,,,,,,,,,,,
𲳙,32CD9,CJK-J,,,,,,,,,,,
𲳚,32CDA,CJK-J,,,,,,,,,,,
𲳛,32CDB,CJK-J,,,,,,,,,,,
𲳜,32CDC,CJK-J,,,,,,,,,,,
𲳝,32CDD,CJK-J,,,,,,,,,,,
𲳞,32CDE,CJK-J,,,,,,,,,,,
𲳟,32CDF,CJK-J,,,,,,,,,,,
𲳠,32CE0,CJK-J,,,,,,,,,,,
𲳡,32CE1,CJK-J,,,,,,,,,,,
𲳢,32CE2,CJK-J,,,,,,,,,,,
𲳣,32CE3,CJK-J,,,,,,,,,,,
𲳤,32CE4,CJK-J,,,,,,,,,,,
𲳥,32CE5,CJK-J,,,,,,,,,,,
𲳦,32CE6,CJK-J,,,,,,,,,,,
𲳧,32CE7,CJK-J,,,,,,,,,,,
𲳨,32CE8,CJK-J,,,,,,,,,,,
𲳩,32CE9,CJK-J,,,,,,,,,,,
𲳪,32CEA,CJK-J,,,,,,,,,,,
𲳫,32CEB,CJK-J,,,,,,,,,,,
𲳬,32CEC,CJK-J,,,,,,,,,,,
𲳭,32CED,CJK-J,,,,,,,,,,,
𲳮,32CEE,CJK-J,,,,,,,,,,,
𲳯,32CEF,CJK-J,,,,,,,,,,,
𲳰,32CF0,CJK-J,,,,,,,,,,,
𲳱,32CF1,CJK-J,,,,,,,,,,,
𲳲,32CF2,CJK-J,,,,,,,,,,,
𲳳,32CF3,CJK-J,,,,,,,,,,,
𲳴,32CF4,CJK-J,,,,,,,,,,,
𲳵,32CF5,CJK-J,,,,,,,,,,,
𲳶,32CF6,CJK-J,,,,,,,,,,,
𲳷,32CF7,CJK-J,,,,,,,,,,,
𲳸,32CF8,CJK-J,,,,,,,,,,,
𲳹,32CF9,CJK-J,,,,,,,,,,,
𲳺,32CFA,CJK-J,,,,,,,,,,,
𲳻,32CFB,CJK-J,,,,,,,,,,,
𲳼,32CFC,CJK-J,,,,,,,,,,,
𲳽,32CFD,CJK-J,,,,,,,,,,,
𲳾,32CFE,CJK-J,,,,,,,,,,,
𲳿,32CFF,CJK-J,,,,,,,,,,,
𲴀,32D00,CJK-J,,,,,,,,,,,
𲴁,32D01,CJK-J,,,,,,,,,,,
𲴂,32D02,CJK-J,,,,,,,,,,,
𲴃,32D03,CJK-J,,,,,,,,,,,
𲴄,32D04,CJK-J,,,,,,,,,,,
𲴅,32D05,CJK-J,,,,,,,,,,,
𲴆,32D06,CJK-J,,,,,,,,,,,
𲴇,32D07,CJK-J,,,,,,,,,,,
𲴈,32D08,CJK-J,,,,,,,,,,,
𲴉,32D09,CJK-J,,,,,,,,,,,
𲴊,32D0A,CJK-J,,,,,,,,,,,
𲴋,32D0B,CJK-J,,,,,,,,,,,
𲴌,32D0C,CJK-J,,,,,,,,,,,
𲴍,32D0D,CJK-J,,,,,,,,,,,
𲴎,32D0E,CJK-J,,,,,,,,,,,
𲴏,32D0F,CJK-J,,,,,,,,,,,
𲴐,32D10,CJK-J,,,,,,,,,,,
𲴑,32D11,CJK-J,,,,,,,,,,,
𲴒,32D12,CJK-J,,,,,,,,,,,
𲴓,32D13,CJK-J,,,,,,,,,,,
𲴔,32D14,CJK-J,,,,,,,,,,,
𲴕,32D15,CJK-J,,,,,,,,,,,
𲴖,32D16,CJK-J,,,,,,,,,,,
𲴗,32D17,CJK-J,,,,,,,,,,,
𲴘,32D18,CJK-J,,,,,,,,,,,
𲴙,32D19,CJK-J,,,,,,,,,,,
𲴚,32D1A,CJK-J,,,,,,,,,,,
𲴛,32D1B,CJK-J,,,,,,,,,,,
𲴜,32D1C,CJK-J,,,,,,,,,,,
𲴝,32D1D,CJK-J,,,,,,,,,,,
𲴞,32D1E,CJK-J,,,,,,,,,,,
𲴟,32D1F,CJK-J,,,,,,,,,,,
𲴠,32D20,CJK-J,,,,,,,,,,,
𲴡,32D21,CJK-J,,,,,,,,,,,
𲴢,32D22,CJK-J,,,,,,,,,,,
𲴣,32D23,CJK-J,,,,,,,,,,,
𲴤,32D24,CJK-J,,,,,,,,,,,
𲴥,32D25,CJK-J,,,,,,,,,,,
𲴦,32D26,CJK-J,,,,,,,,,,,
𲴧,32D27,CJK-J,,,,,,,,,,,
𲴨,32D28,CJK-J,,,,,,,,,,,
𲴩,32D29,CJK-J,,,,,,,,,,,
𲴪,32D2A,CJK-J,,,,,,,,,,,
𲴫,32D2B,CJK-J,,,,,,,,,,,
𲴬,32D2C,CJK-J,,,,,,,,,,,
𲴭,32D2D,CJK-J,,,,,,,,,,,
𲴮,32D2E,CJK-J,,,,,,,,,,,
𲴯,32D2F,CJK-J,,,,,,,,,,,
𲴰,32D30,CJK-J,,,,,,,,,,,
𲴱,32D31,CJK-J,,,,,,,,,,,
𲴲,32D32,CJK-J,,,,,,,,,,,
𲴳,32D33,CJK-J,,,,,,,,,,,
𲴴,32D34,CJK-J,,,,,,,,,,,
𲴵,32D35,CJK-J,,,,,,,,,,,
𲴶,32D36,CJK-J,,,,,,,,,,,
𲴷,32D37,CJK-J,,,,,,,,,,,
𲴸,32D38,CJK-J,,,,,,,,,,,
𲴹,32D39,CJK-J,,,,,,,,,,,
𲴺,32D3A,CJK-J,,,,,,,,,,,
𲴻,32D3B,CJK-J,,,,,,,,,,,
𲴼,32D3C,CJK-J,,,,,,,,,,,
𲴽,32D3D,CJK-J,,,,,,,,,,,
